id,name,nasa_jpl_url,absolute_magnitude_h,is_potentially_hazardous_asteroid,is_sentry_object,diameter_min_meters,diameter_max_meters,diameter_avg_meters,close_approach_date,epoch_date_close_approach,relative_velocity_km_per_sec,relative_velocity_km_per_hour,relative_velocity_miles_per_hour,miss_distance_astronomical,miss_distance_lunar,miss_distance_kilometers,miss_distance_miles,orbiting_body
3840783,(2019 GE1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=3840783,27.0,False,False,10.5816885933,23.6613750114,17.12153180235,2025-09-02,1756778940000,5.5440914977,19958.7293918922,12401.5782713121,0.1699368316,66.1054274924,25422188.041908692,15796615.1504642696,Earth
54016590,(2020 HP1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54016590,28.6,False,False,5.0647145883,11.3250461062,8.19488034725,2025-09-02,1756791240000,14.1976465485,51111.5275746245,31758.7155643549,0.3587156292,139.5403797588,53663094.064029804,33344700.4370831352,Earth
54110065,(2021 CD1),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54110065,24.13,False,False,39.6784754066,88.7237682527,64.20112182964999,2025-09-02,1756836420000,19.3234924572,69564.5728457504,43224.7202774053,0.3627101667,141.0942548463,54260668.365664929,33716015.8899928602,Earth
54235680,(2022 AL3),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54235680,21.96,False,False,107.7841687222,241.0127281611,174.39844844165,2025-09-02,1756791060000,15.6340933391,56282.7360208208,34971.9033902706,0.4216711693,164.0300848577,63081108.767689391,39196783.4092439558,Earth
54279767,(2022 KF),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54279767,24.58,False,False,32.2518756454,72.1173863449,52.18463099515,2025-09-02,1756812720000,29.0763013691,104674.6849286192,65040.7785324523,0.4094603362,159.2800707818,61254394.145003894,38061715.5765019772,Earth
54526130,(2025 GQ),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54526130,21.36,False,False,142.0872067277,317.7166529762,229.90192985195,2025-09-02,1756783740000,15.0672021965,54241.9279072477,33703.8245932562,0.1785724222,69.4646722358,26714054.001860714,16599343.4349732932,Earth
54541096,(2025 OG24),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54541096,22.78,False,False,73.884778657,165.2113875797,119.54808311835,2025-09-02,1756778760000,18.1595727722,65374.4619800788,40621.1483342328,0.1173322406,45.6422415934,17552653.276087522,10906712.9947589236,Earth
54541877,(2025 QS5),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54541877,23.49,False,False,53.2788664874,119.1351672299,86.20701685865001,2025-09-02,1756805940000,13.2215529387,47597.5905791411,29575.2917684669,0.1521041392,59.1685101488,22754455.242503504,14138962.8552721952,Earth
54543101,(2025 QH16),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543101,26.98,False,False,10.6795997524,23.8803110188,17.2799553856,2025-09-02,1756779180000,8.308518047,29910.6649693638,18585.3240194361,0.0148021508,5.7580366612,2214370.231098796,1375945.8581475448,Earth
54543395,(2025 QA18),https://ssd.jpl.nasa.gov/tools/sbdb_lookup.html#/?sstr=54543395,23.52,False,False,52.5478530342,117.5005714561,85.02421224515001,2025-09-02,1756805880000,6.7738333651,24385.8001145372,15152.3878545023,0.1263888591,49.1652661899,18907504.113090117,11748578.2670609346,Earth
